traditional,simplified,pinyin,translation,level,numerical_pinyin,pinyin_check,exclude
實力,实力,shílì,"strength, actual strength, efficiency",3,shi2 li4,shílì,False
時刻,时刻,shíkè,"moment, occasion, juncture, sand, hour, time",3,shi2 ke4,shíkè,False
實驗室,实验室,shíyànshì,"lab, science lab, laboratory",3,shi2 yan4 shi4,shíyànshì,False
實驗,实验,shíyàn,"experiment, test",3,shi2 yan4,shíyàn,False
食品,食品,shípǐn,"menu, vivers, viand, chow, eatable, provisions, tuck, foodstuff, viands, nourishment, comestible, tack, nutrient, victual, food, grocery, victualage, cuisine",3,shi2 pin3,shípǐn,False
始終,始终,shǐzhōng,"all_the_time, from beginning to end, from start to finish, always, all along, evermore, throughout",3,shi3 zhong1,shǐzhōng,False
使,使,shǐ,"rarefy, piss_off, germinate, drench, blow_out, leave, cut_up, refract, run, dress_up, compose, shed, frizz, put_off, trot, send, strike, send (as envoy), peal, alienate, pull_in, tone_up, bring around, astound, sublease, wither, cripple, bed_down, address, rehearse, usage, warm, smell_out, throw, inflect, get_down, skunk, capsize, congeal, bowl_over, bring_on, unseat, ensure, amalgamate, pro",3,shi3,shǐ,False
世紀,世纪,shìjì,"one C, centred, C, century, age, hundred, 100",3,shi4 ji4,shìjì,False
世界,世界,shìjiè,"mundane, creation, world, monde, orb, nature, domain",3,shi4 jie4,shìjiè,False
市場,市场,shìchǎng,"bourse, bazar, marketplace, grocery store, agora, bazaar, securities industry, grocery, piazza, plaza, rialto, mart, pitch, market",3,shi4 chang3,shìchǎng,False
世界杯,世界杯,shìjièbēi,World Cup,3,shi4 jie4 bei1,shìjièbēi,False
事故,事故,shìgù,"circumstance, trouble, mischance, accident, mishap, affair, bad luck, natural event, happening, occurrence",3,shi4 gu4,shìgù,False
事件,事件,shìjiàn,"fact, event, page, incidental, go, case, job, natural event, timing, proceedings, social occasion, happening, occurrence, matter, occasion, incident, shebang, affair, chapter, concernment",3,shi4 jian4,shìjiàn,False
事實,事实,shìshí,"mood, circumstance, fact, factual, reality, verity, case, deed, sooth, troth, actuality, truth, matter, matter of fact",3,shi4 shi2,shìshí,False
事實上,事实上,shìshíshang,"in fact, in reality, actually, as a matter of fact, de facto, ipso facto",3,shi4 shi2 shang4,shìshíshàng,True
事業,事业,shìyè,"proposition, task, pidgin, institution, undertaking, deed, facilities, life history, endeavour, endeavor, cause, career, project, action, enterprise",3,shi4 ye4,shìyè,False
試驗,试验,shìyàn,"test, experiment",3,shi4 yan4,shìyàn,False
試題,试题,shìtí,"exam question, test topic",3,shi4 ti2,shìtí,False
適合,适合,shìhé,"qualify, conform, fit, go, befit, quadrate, will, accord, tailor, beseem, serve, comport, gee, answer, become, fit_in, service, pertain, like, accommodate, agree, belong, characterize, make, suit, match",3,shi4 he2,shìhé,False
適用,适用,shìyòng,"applicable, lend oneself, apply, be applicable, suit",3,shi4 yong4,shìyòng,False
適應,适应,shìyìng,"be accustomed to, conform, be used to, fit, humor, gear, orient, phase, adjust, accommodate, be accustomed, be inure to, get used to, adaptation, adapt, suit",3,shi4 ying4,shìyìng,False
收費,收费,shōu fèi,"collect fees, charge",3,shou1 fei4,shōufèi,False
收看,收看,shōukàn,"watch, tune in, watch (e.g., receive, look in, watch (e.g., TV), tune into, TV)",3,shou1 kan4,shōukàn,False
室,室,shì,"surname Shi, room, work unit, grave, scabbard, family or clan, one of the 28 constellations of Chinese astronomy",3,shi4,shì,False
收聽,收听,shōutīng,"to listen (to), to listen (in)",3,shou1 ting1,shōutīng,False
手續,手续,shǒuxù,"formality, procedures, formalities, procedure",3,shou3 xu4,shǒuxù,False
收音機,收音机,shōuyīnjī,"radio, CL:臺|台[tai2]",3,shou1 yin1 ji1,shōuyīnjī,False
首都,首都,shǒudū,capital (of country),3,shou3 du1,shǒudū,False
手指,手指,shǒuzhǐ,finger,3,shou3 zhi3,shǒuzhǐ,False
首先,首先,shǒuxiān,"first (of all), in the first place",3,shou3 xian1,shǒuxiān,False
受傷,受伤,shòu shāng,"injure, bruise, injured, be wounded, crush, hurt, sustain an injury, be injured, wounded, maimed, wound",3,shou4 shang1,shòushāng,False
受,受,shòu,passive signifier,3,shou4,shòu,False
輸,输,shū,"lose, be defeated",3,shu1,shū,False
書架,书架,shūjià,"bookshelf, CL:個|个[ge4]",3,shu1 jia4,shūjià,False
熟人,熟人,shúrén,"acquaintance, friend",3,shu2 ren2,shúrén,False
輸入,输入,shūrù,"import, input",3,shu1 ru4,shūrù,False
屬,属,shǔ,"belong, be born in the year of, belong to, be subordinate to, be",3,shu3,shǔ,False
束,束,shù,"surname Shu, to bind, bunch, bundle, classifier for bunches, bundles, beams of light etc, to control",3,shu4,shù,False
屬於,属于,shǔyú,"fall under, be part of, pertain, appertain, belong, relegate, fall into, belong_to, fall_under, reside, belong to, attach",3,shu3 yu2,shǔyú,False
雙方,双方,shuāngfāng,"both, the two parties, two parties, both sides",3,shuang1 fang1,shuāngfāng,False
數量,数量,shùliàng,"magnitude, scalar, aggregate, deal, measure, numerical quantity, measurement, sum, worth, amount, quantity, number",3,shu4 liang4,shùliàng,False
思想,思想,sīxiǎng,"cogitation, mentation, imagery, imaging, lunatic_fringe, mental imagery, idea, thinking, imagination, ideology, thought, pensee, ideological",3,si1 xiang3,sīxiǎng,False
雙,双,shuāng,m.[general],3,shuang1,shuāng,False
死,死,sǐ,die,3,si3,sǐ,False
速度,速度,sùdù,"pacing, wings, rate, quickness, fastness, velocity, swiftness, lick, pace, rapidity, speed, career, tempo",3,su4 du4,sùdù,False
隨,随,suí,v.2 right after v.1,3,sui2,suí,False
所,所,suǒ,that which,3,suo3,suǒ,False
颱,台,tái,short for Taiwan,3,tai2,tái,False
所長,所长,suǒcháng,head of an institute/etc.,3,suo3 zhang3,suǒzhǎng,True
談判,谈判,tánpàn,"negociate, treat, talks, negotiation, negotiate, talk terms, parley, palaver, negotiations, imparl",3,tan2 pan4,tánpàn,False
談話,谈话,tánhuà,"talk, speech",3,tan2 hua4,tánhuà,False
談,谈,tán,"talk, chat",3,tan2,tán,False
湯,汤,tāng,"hot/boiling water, hot springs, soup, broth",3,tang1,tāng,False
糖,糖,táng,"refined sugar, carob bar, negus, sugar, candy, carbohydrate, sweets",3,tang2,táng,False
特色,特色,tèsè,"motif, a character, a characteristic, manner, trait, differentiation, flavor, colour, singularity, distinction, characteristic, hue, stripe, physiognomy, a distinguishing feature, idiom, specialty, character, difference, particular, distinguishing feature, distinguishing feature/quality, salience, coloration, distinguishing quality, specific, feature, peculiarity, artistic st",3,te4 se4,tèsè,False
提問,提问,tíwèn,"to question, to quiz, to grill",3,ti2 wen4,tíwèn,False
提前,提前,tíqián,"counter, foresee, shift to an earlier date, set ahead, advance date, advanced, advancement, move up, anticipate, advance, forestall",3,ti2 qian2,tíqián,False
體會,体会,tǐhuì,"know/learn from experience, realize",3,ti3 hui4,tǐhuì,False
體現,体现,tǐxiàn,"to embody, to reflect, to incarnate",3,ti3 xian4,tǐxiàn,False
題目,题目,tímù,"exam questions, head, lemma, theme, thesis, examination questions, question, text, title, ground, subject, topic, exercise problems, chapter, caption, rubric, heading",3,ti2 mu4,tímù,False
體驗,体验,tǐyàn,learn through practice/experience,3,ti3 yan4,tǐyàn,False
天空,天空,tiānkōng,"firmament, heavenly, empyrean, heavens, welkin, blue, canopy, cloud, the heavens, vault, air, sky, the sky, Aether, wild blue yonder, blue air, heaven, blue sky, space",3,tian1 kong1,tiānkōng,False
甜,甜,tián,"sweet, agreeable",3,tian2,tián,False
跳,跳,tiào,"ricochet, make omissions, sell grain, vault, hop, bounce, bound, omission, omit, palpitate, move up and down, skip over, beat, take, spring, skip, dance, hurdle, skip (over), jump, leap",3,tiao4,tiào,False
跳高,跳高,tiàogāo,high jump (athletics),3,tiao4 gao1,tiàogāo,False
跳遠,跳远,tiàoyuǎn,long jump (athletics),3,tiao4 yuan3,tiàoyuǎn,False
調整,调整,tiáozhěng,"adjust, readjust, regulate, restructure, balance",3,tiao2 zheng3,tiáozhěng,False
鐵,铁,tiě,"shovel, smoothing iron, iron, ferrous, arms, Surname, Fe, ferrum, spade, weapon",3,tie3,tiě,False
跳舞,跳舞,tiào wǔ,"hop, trip the light fantastic, trip, cakewalk, dancing, dance, saltate, hoof, step",3,tiao4 wu3,tiàowǔ,False
聽眾,听众,tīngzhòng,"auditor, listener, hearer, audience, auditory, gallery, listeners",3,ting1 zhong4,tīngzhòng,False
聽力,听力,tīnglì,"hearing, listening ability",3,ting1 li4,tīnglì,False
通常,通常,tōngcháng,"normal, commonly, customarily, more often than not, general, usual, on average, as a rule, ordinarily, mostly, as usual, typically, generally, normally, by and large, unremarkably, on the average, usually",3,tong1 chang2,tōngcháng,False
通信,通信,tōngxìn,"communicate by letter, correspond",3,tong1 xin4,tōngxìn,False
鐵路,铁路,tiělù,"rails, railroad track, loop-line, rail, Pullman, railway, road, couchette, chemmy, railroad",3,tie3 lu4,tiělù,False
停止,停止,tíngzhǐ,"cease, flunk, desist, pass, suspend, stint, pass_off, break_up, stash, cut, stay, cessation, adjourn, rain_out, give, detain, blow_over, seize, give up, balk, cheese, abstain, refrain, knock_off, rest, abandon, break, knock off, drop, go, tie_up, stop, interdict, strike, lay_off, stow, cut off, discontinue, pause, leave_off, leave off, set aside, give_out, cut_out, give_up, delay, quit, cut out",3,ting2 zhi3,tíngzhǐ,False
同意,同意,tóngyì,"agree, consent, approve",3,tong2 yi4,tóngyì,False
痛苦,痛苦,tòngkǔ,be painful; pain,3,tong4 ku3,tòngkǔ,False
痛,痛,tòng,"ache, pain",3,tong4,tòng,False
頭,头,tóu,"head, hair (style), top/end of sth., chief",3,tou2,tóu,False
頭腦,头脑,tóunǎo,"pericranium, leader, head, noggin, brain, brains, main threads, clue, nous, loaf, bean, psyche, headpiece, mind, pate, skull",3,tou2 nao3,tóunǎo,False
突出,突出,tū chū,outstanding,3,tu1 chu1,tūchū,False
圖,图,tú,"picture, drawing, chart, map",3,tu2,tú,False
突然,突然,tūrán,"suddenly, presto, unexpectedly, abruptly, at once, all_at_once, all together, all of a sudden, all at once",3,tu1 ran2,tūrán,False
圖畫,图画,túhuà,"drawing, picture",3,tu2 hua4,túhuà,False
土,土,tǔ,"soil, earth, clay, land",3,tu3,tǔ,False
團,团,tuán,m.[proximation],3,tuan2,tuán,False
團結,团结,tuánjié,"unite, rally",3,tuan2 jie2,tuánjié,False
團體,团体,tuántǐ,"fraternity, sect, phalanx, collective, body, group, sodality, element, organisation, corporation, confession, college, establishment, brotherhood, community, organization, squad, union, administration, society, army, commonwealth, consort, company, lineup, combine, governance, clan, combination, fellowship, organizational, bloc, team, party, connection, family, brass, squadron",3,tuan2 ti3,tuántǐ,False
推動,推动,tuī dòng,"push forward, promote",3,tui1 dong4,tuīdòng,False
推廣,推广,tuīguǎng,"popularize, spread, extend",3,tui1 guang3,tuīguǎng,False
推進,推进,tuījìn,"to impel, to carry forward, to push on, to advance, to drive forward",3,tui1 jin4,tuījìn,False
推開,推开,tuīkāi,"to push open (a gate etc), to push away, to reject, to decline",3,tui1 kai1,tuīkāi,False
退,退,tuì,"retreat, retire, decline, ebb",3,tui4,tuì,False
退出,退出,tuì chū,"withdraw from, quit",3,tui4 chu1,tuìchū,False
退休,退休,tuìxiū,"to retire, to go into retirement, to step down",3,tui4 xiu1,tuìxiū,False
外交,外交,wàijiāo,"diplomatics, diplomatic negotiations, diplomacy, nonintervention, diplomatism, diplomatic, foreign affairs",3,wai4 jiao1,wàijiāo,False
外文,外文,wàiwén,foreign language (written),3,wai4 wen2,wàiwén,False
完美,完美,wánměi,"perfect, consummate",3,wan2 mei3,wánměi,False
外面,外面,wàimian,"surface, outward appearance, without, outside, exterior",3,wai4 mian4,wàimiàn,True
完整,完整,wánzhěng,"complete, integrated, intact",3,wan2 zheng3,wánzhěng,False
完善,完善,wánshàn,"perfect, consummate",3,wan2 shan4,wánshàn,False
玩具,玩具,wánjù,"yo-yo, bauble, plaything, toy, teether, knickknack",3,wan2 ju4,wánjù,False
往往,往往,wǎngwǎng,"oftentimes, ofttimes, always, more often than not, frequently, oft, often",3,wang3 wang3,wǎngwǎng,False
危險,危险,wēixiǎn,"dangerous, perilous",3,wei1 xian3,wēixiǎn,False
危害,危害,wēihài,"to jeopardize, to harm, to endanger, harmful effect, damage, CL:個|个[ge4]",3,wei1 hai4,wēihài,False
為,为,wèi,by,3,wei2,wéi,True
偉大,伟大,wěidà,"great, mighty",3,wei3 da4,wěidà,False
衛生間,卫生间,wèishēngjiān,"bathroom, toilet, WC, CL:間|间[jian1]",3,wei4 sheng1 jian1,wèishēngjiān,False
衛生,卫生,wèishēng,"hygiene, health, sanitation",3,wei4 sheng1,wèishēng,False
為了,为了,wèile,"in order to, for the purpose of, so as to",3,wei4 le,wèile,False
溫暖,温暖,wēnnuǎn,warm,3,wen1 nuan3,wēnnuǎn,False
圍,围,wéi,"surname Wei, to encircle, to surround, all around, to wear by wrapping around (scarf, shawl)",3,wei2,wéi,False
文化,文化,wénhuà,"civilization, literacy, acculturation, Kultur, vandalism, cultural, education, schooling, culture",3,wen2 hua4,wénhuà,False
文明,文明,wénmíng,"civilization, culture",3,wen2 ming2,wénmíng,False
文件,文件,wénjiàn,"page, documental, archive, writ, documents, data file, paper, document, judicial writ, literature, circular, documentation, portfolio, archives, file, written document, papers",3,wen2 jian4,wénjiàn,False
文章,文章,wénzhāng,"nonsense, hidden meaning, writing, hidden, written material, article, implied meaning, essay, writings, literary works, patch, hidden/implied meaning",3,wen2 zhang1,wénzhāng,False
文學,文学,wénxué,"literary, philology, letters, letter, literature",3,wen2 xue2,wénxué,False
握手,握手,wò shǒu,to shake hands,3,wo4 shou3,wòshǒu,False
屋子,屋子,wūzi,"room, house",3,wu1 zi,wūzi,False
武器,武器,wǔqì,"enginery, steel, arming, armament, weapons system, hardware, armored, armature, munition, weaponry, artillery, implements of war, armory, arms, ammunition, armor, weapon, arm, armoring",3,wu3 qi4,wǔqì,False
武術,武术,wǔshù,"military skill or technique (in former times), all kinds of martial art sports (some claiming spiritual development), self-defense, tradition of choreographed fights from opera and film (recent usage), also called kungfu 功夫, CL:種|种[zhong3]",3,wu3 shu4,wǔshù,False
文字,文字,wénzì,"writing, phraseology, writing style, language, endearment, script, written language, text, writing phraseology, writing style/phraseology, character, textual, characters, symbolic representation, version, word-sign, literal, letter, word, literalness",3,wen2 zi4,wénzì,False
西部,西部,xībù,"western part, West, westward, west, the west",3,xi1 bu4,xībù,False
舞臺,舞台,wǔtái,"board, arena, bandstand, stage, proscenium, boards",3,wu3 tai2,wǔtái,False
下來,下来,xià lai,come down from a higher place,3,xia4 lai,xiàlai,False
系,系,xì,be,3,xi4,xì,False
希望,希望,xīwàng,"hope, wish",3,xi1 wang4,xīwàng,False
下去,下去,xià qu,"go on, continue, go down, descend, take_up, descent",3,xia4 qu4,xiàqù,True
顯然,显然,xiǎnrán,"evidently, manifestly, clear, visibly, plainly, plain, distinctly, clearly, patently, apparently, obviously",3,xian3 ran2,xiǎnrán,False
先進,先进,xiānjìn,advance,3,xian1 jin4,xiānjìn,False
顯得,显得,xiǎnde,"seem, look, appear",3,xian3 de,xiǎnde,False
下面,下面,xiàmian,"next, lower level, underside, following, underneath, subordinate, undersurface",3,xia4 mian4,xiàmiàn,True
顯示,显示,xiǎnshì,"demonstrate, argue, exhibit, prove, display, show, illustrate, manifest, demonstration, announce, stamp, unroll, witness, write, give, evince, dangle, betray, bespeak, say, profess, develop, indicate, signal, flaunt, read, register, manifestation, speak, reveal, evidence, tell, shew, proclaim, discover, stage, bear, establish, record, prognosticate, betoken, note, signalize",3,xian3 shi4,xiǎnshì,False
現場,现场,xiànchǎng,"scene (of an incident), location, site, locale, scene of a crime, locality, live, scene, spot, field",3,xian4 chang3,xiànchǎng,False
現代,现代,xiàndài,modern,3,xian4 dai4,xiàndài,False
現金,现金,xiànjīn,"quids, rhino, clink, ready, cash reserve in bank, dough, dust, ducat, kale, cash, blunt, till, ready money",3,xian4 jin1,xiànjīn,False
現實,现实,xiànshí,"reality, actuality",3,xian4 shi2,xiànshí,False
線,线,xiàn,"thread, string, wire",3,xian4,xiàn,False
相當,相当,xiāngdāng,"quite, fairly, considerably",3,xiang1 dang1,xiāngdāng,False
相比,相比,xiāngbǐ,"liken, equate, compare, comparison",3,xiang1 bi3,xiāngbǐ,False
現象,现象,xiànxiàng,"phenomenon, phenomenal, appearance",3,xian4 xiang4,xiànxiàng,False
相互,相互,xiānghù,"each other, mutually, one another, in return, reciprocally",3,xiang1 hu4,xiānghù,False
相關,相关,xiāngguān,"cognate, relational, interrelate, associated, be interrelated, relevant, related, be mutually related",3,xiang1 guan1,xiāngguān,False
相似,相似,xiāngsì,"resemblance, alike, be alike, be similar/alike, match, be similar, resemble",3,xiang1 si4,xiāngsì,False
香,香,xiāng,"fragrant, scented, savory, appetizing, popular, welcome",3,xiang1,xiāng,False
香蕉,香蕉,xiāngjiāo,banana,3,xiang1 jiao1,xiāngjiāo,False
消費,消费,xiāofèi,expenditure,3,xiao1 fei4,xiāofèi,False
消失,消失,xiāoshī,"disappear, vanish, dissolve",3,xiao1 shi1,xiāoshī,False
消息,消息,xiāoxi,"communication, witting, message, item, news, peep, info, intelligence, notice, information, advertisement, tidings, advert, word",3,xiao1 xi,xiāoxi,False
寫作,写作,xiězuò,writing,3,xie3 zuo4,xiězuò,False
血,血,xuè,"claret, blood, hematic, lifeline, lifeblood, sap",3,xue4,xuè,False
效果,效果,xiàoguǒ,"operation, execution, result, effect, background, sound effects, purpose, point, background signal, fruitage, outcome, force, punch",3,xiao4 guo3,xiàoguǒ,False
心,心,xīn,"heart, mind, feeling, center, core",3,xin1,xīn,False
信封,信封,xìnfēng,"envelope, CL:個|个[ge4]",3,xin4 feng1,xìnfēng,False
行李,行李,xíngli,"clobber, impedimenta, dunnage, luggage, baggage",3,xing2 li,xíngli,False
信任,信任,xìnrèn,"trust, have confidence in",3,xin4 ren4,xìnrèn,False
形成,形成,xíngchéng,"take shape, form",3,xing2 cheng2,xíngchéng,False
形式,形式,xíngshì,"circumstance, form, kind, modality, reading, interpretation, variety, shape, embodiment, species, mode, version, sort",3,xing2 shi4,xíngshì,False
形象,形象,xíngxiàng,"imagery, figure, form, picture, persona, image",3,xing2 xiang4,xíngxiàng,False
形狀,形状,xíngzhuàng,"set, figuration, physiognomy, form, appearance, shape",3,xing2 zhuang4,xíngzhuàng,False
幸福,幸福,xìngfú,happy,3,xing4 fu2,xìngfú,False
幸運,幸运,xìngyùn,"very fortunate, lucky",3,xing4 yun4,xìngyùn,False
信,信,xìn,"letter, mail, message",3,xin4,xìn,False
性,性,xìng,"nature, character, sex, gender",3,xing4,xìng,False
性別,性别,xìngbié,"sexuality, grammatical gender, sexual distinction, sex, gender",3,xing4 bie2,xìngbié,False
性格,性格,xìnggé,"fibre, make-up, mettle, humor, nature, complexion, capacity, mentality, mould, mold, being, streak, temperament, personality, character, fiber, disposition, strain, makeup, make",3,xing4 ge2,xìnggé,False
修,修,xiū,"embellish, decorate, repair, mend, overhaul, build, construct, trim, prune",3,xiu1,xiū,False
修改,修改,xiūgǎi,"revise, amend, alter",3,xiu1 gai3,xiūgǎi,False
需求,需求,xūqiú,"need, requisition, demand, want, desiderative, requirement, call",3,xu1 qiu2,xūqiú,False
需要,需要,xūyào,"need, want, require, demand",3,xu1 yao4,xūyào,False
宣布,宣布,xuānbù,"declare, proclaim, announce",3,xuan1 bu4,xuānbù,False
宣傳,宣传,xuānchuán,"propagandist, publicist",3,xuan1 chuan2,xuānchuán,False
訓練,训练,xùnliàn,training,3,xun4 lian4,xùnliàn,False
選手,选手,xuǎnshǒu,"participant, basketeer, athlete selected for a sports meet, basketball player, jock, contestant, cap, cager, athlete, player, champ, performer, player selected as contestant",3,xuan3 shou3,xuǎnshǒu,False
學費,学费,xuéfèi,"entrance_fee, tuition fee, premium, schooling, tuition",3,xue2 fei4,xuéfèi,False
壓,压,yā,"weight_down, hold down, push down, compact, constrict, be getting near, suppress, squeeze, compress, risk money on, quell, bring pressure to, pull, press, keep under control, throttle, push/hold down, intimidate, scrunch, weigh down, scrouge, daunt, shelve, pigeonhole, contract, approach, keep under, push, stake, control",3,ya1,yā,False
壓力,压力,yālì,"force per unit area, P, strain, overwhelming force, pressure sensation, burdensomeness, oppressiveness, pressure, onerousness, stress, compulsion, constraint, muscle, lading",3,ya1 li4,yālì,False
煙,烟,yān,"smoke, mist, vapor",3,yan1,yān,False
演,演,yǎn,"elaborate, development, practise, practice, develop, act, performance, represent, deduction, drill, play, evolution, evolve, play the part of, perform, play the role of, mount, elaboration, deduce",3,yan3,yǎn,False
眼前,眼前,yǎnqián,before one's eyes,3,yan3 qian2,yǎnqián,False
演唱,演唱,yǎnchàng,sing in performance,3,yan3 chang4,yǎnchàng,False
演唱會,演唱会,yǎnchànghuì,vocal recital,3,yan3 chang4 hui4,yǎnchànghuì,False
演員,演员,yǎnyuán,"actor or actress, playactor, imitator, stage manager, barnstormer, actor, performer, impersonator, cast, performing artist, dramatis personae, role player, histrionic, thespian, trouper, player, cast of characters, stager, histrion",3,yan3 yuan2,yǎnyuán,False
演出,演出,yǎnchū,"show, perform",3,yan3 chu1,yǎnchū,False
羊,羊,yáng,"kidney, drover, baa, trotter, argali, mutton, sheep, Surname",3,yang2,yáng,False
陽光,阳光,yángguāng,"sunray, shine, sun, sunlight, sunshine, sunbeam",3,yang2 guang1,yángguāng,False
要是,要是,yàoshi,"conj.: if, suppose, in case",3,yao4 shi,yàoshi,False
一切,一切,yīqiè,"det.: everything, every",3,yi1 qie4,yīqiè,False
衣架,衣架,yījià,"clothes hanger, clothes rack",3,yi1 jia4,yījià,False
以來,以来,yǐlái,since,3,yi3 lai2,yǐlái,False
已,已,yǐ,already,3,yi3,yǐ,False
一方面,一方面,yīfāngmiàn,"conj.: on one side, on the one hand..., on the other hand..., for one thing..., for another...",3,yi1 fang1 mian4,yīfāngmiàn,False
藝術,艺术,yìshù,"beaux-arts, aesthetical, artistic production, artistic, ars, art, academy, aesthetic, artistic creation, skill, craft, artistry, esthetic",3,yi4 shu4,yìshù,False
意義,意义,yìyì,"importance, significance, denotation, purport, drift, signality, emptiness, meaning, construction, bearing, substance, import, effect, insignificancy, hang, signification, sense",3,yi4 yi4,yìyì,False
意外,意外,yìwài,"accident, mishap",3,yi4 wai4,yìwài,False
因此,因此,yīncǐ,"conj.: therefore, consequently",3,yin1 ci3,yīncǐ,False
銀牌,银牌,yínpái,"silver medal, CL:枚[mei2]",3,yin2 pai2,yínpái,False
印象,印象,yìnxiàng,"effect, mark, impress, embossment, impressional, image, imprint, engram, sound, intuition, impression",3,yin4 xiang4,yìnxiàng,False
應當,应当,yīngdāng,should,3,ying1 dang1,yīngdāng,False
銀,银,yín,silver,3,yin2,yín,False
迎接,迎接,yíngjiē,"greet, receive, welcome, accolade, meet",3,ying2 jie1,yíngjiē,False
營養,营养,yíngyǎng,"nutrition, nourishment",3,ying2 yang3,yíngyǎng,False
影視,影视,yǐngshì,movies and television,3,ying3 shi4,yǐngshì,False
贏,赢,yíng,"lick, beat, whip, gain, capot, win",3,ying2,yíng,False
應用,应用,yìngyòng,"application, use",3,ying4 yong4,yìngyòng,False
優點,优点,yōudiǎn,"strong, merit, vantage, excellency, perfection, assets, beaut, advantage, excellence, upside, strong_point, good point, virtue, desert, desirability, strong point, long_suit, beauty, strong/good point, desirableness",3,you1 dian3,yōudiǎn,False
由,由,yóu,"from, via, by, through, owing/due to",3,you2,yóu,False
優勢,优势,yōushì,"ascendence, laterality, preponderancy, vantage, ascendancy, ascendent, transcendency, dominance, predominance, draw, gree, upper_hand, prevalence, advantage, mastery, ascendency, supremacy, advantageousness, control, preeminence, dominion, jump, edge, better, deadwood, overweight, superiority, domination, sovereignty, preponderance, ascendance, transcendence, prepotency, hank, asce",3,you1 shi4,yōushì,False
郵件,邮件,yóujiàn,"mail, postal items, V-mail, mailing, postal matter, post, postbag, posting",3,you2 jian4,yóujiàn,False
郵票,邮票,yóupiào,"postage_stamp, album, label, stamp, postage, postage stamp, stickies",3,you2 piao4,yóupiào,False
由於,由于,yóuyú,conj.: owing/due/thanks to,3,you2 yu2,yóuyú,False
郵箱,邮箱,yóuxiāng,"mailbox, post office box",3,you2 xiang1,yóuxiāng,False
遊戲,游戏,yóuxì,"game, CL:場|场[chang3], to play",3,you2 xi4,yóuxì,False
游,游,yóu,"swim, float, travel, rove",3,you2,yóu,False
游泳,游泳,yóuyǒng,"fin, swim, bathe",3,you2 yong3,yóuyǒng,False
有的是,有的是,yǒudeshì,"have plenty of, there's no lack of",3,you3 de shi4,yǒudeshì,False
有利,有利,yǒulì,be advantageous/beneficial,3,you3 li4,yǒulì,False
有效,有效,yǒuxiào,"run, stand, valid, effective, efficacious, avail, make, hold",3,you3 xiao4,yǒuxiào,False
預報,预报,yùbào,forecast,3,yu4 bao4,yùbào,False
預防,预防,yùfáng,"prevent, guard against",3,yu4 fang2,yùfáng,False
預計,预计,yùjì,"estimate, view, predict, expect, calculate in advance, anticipate",3,yu4 ji4,yùjì,False
員,员,yuán,m.[general],3,yuan2,yuán,False
員工,员工,yuángōng,"employee, personnel, reason, force, staff, cause",3,yuan2 gong1,yuángōng,False
願望,愿望,yuànwàng,"wish, desire, pleasure, Eros, will, orexis, desirability, dream, wishfulness, mind, mirage, wistfulness, aspiration, ambition, hope",3,yuan4 wang4,yuànwàng,False
約,约,yuē,"about, around",3,yue1,yuē,False
預習,预习,yùxí,to prepare a lesson,3,yu4 xi2,yùxí,False
樂隊,乐队,yuèduì,"orchestra, dance orchestra, dance band, band",3,yue4 dui4,yuèduì,False
運輸,运输,yùnshū,transport,3,yun4 shu1,yùnshū,False
雜誌,杂志,zázhì,"journal, bulletin, mag, magazine, periodical",3,za2 zhi4,zázhì,False
早已,早已,zǎoyǐ,"already, since, long ago, long ago/since, long since",3,zao3 yi3,zǎoyǐ,False
造成,造成,zàochéng,"make_for, give rise to, create, set_up, strike, creation, cause, contribute, bring_about, procure, give, bring about, cut_out, necessitate, shape, present, bring_forth, generate, yield, make, breed",3,zao4 cheng2,zàochéng,False
責任,责任,zérèn,"need, care, encumbrance, buck, accountability, blame, obligation, turn, load, responsibleness, incumbrance, responsibility, onus, commission, burden, commitment, loading, trust, pigeon, charge, business, fault, place, liability, duty, guardianship",3,ze2 ren4,zérèn,False
增加,增加,zēngjiā,"increase, raise, add",3,zeng1 jia1,zēngjiā,False
造,造,zào,"arrive at, training, create, go to, build, invent, construct, education, concoction, mint, invention, cook up, educate, establish, fabricate, make, concoct, train",3,zao4,zào,False
增長,增长,zēngzhǎng,"increase, grow",3,zeng1 zhang3,zēngzhǎng,False
張,张,zhāng,m.[general],3,zhang1,zhāng,False
展開,展开,zhǎnkāi,"spread out, unfold, open up, launch, develop",3,zhan3 kai1,zhǎnkāi,False
者,者,zhě,"nominal suffix, one who, -er",3,zhe3,zhě,False
真實,真实,zhēnshí,"true, real, authentic, factual",3,zhen1 shi2,zhēnshí,False
爭取,争取,zhēngqǔ,"strive for, fight for, wrangle, work hard for, contest, go for, strive/fight for, contend, try_for, woo, try for, strive, win over, scramble, do all one can to",3,zheng1 qu3,zhēngqǔ,False
爭,争,zhēng,"be short of, disagree, argue, duel, arguement, compete, vie, dispute, contest, fence, be wanting, contend, debate, disputation, strive",3,zheng1,zhēng,False
照,照,zhào,"according to, in accordance with, towards",3,zhao4,zhào,False
整,整,zhěng,det.: exact,3,zheng3,zhěng,False
整理,整理,zhěnglǐ,"put in order, arrange",3,zheng3 li3,zhěnglǐ,False
整個,整个,zhěnggè,"whole, entire, total",3,zheng3 ge4,zhěnggè,False
